LocationID,Zone,latlon
1,Newark Airport,"-74.1474390,40.6904063"
2,Jamaica Bay,"-73.8887291,40.6377727"
3,Allerton/Pelham Gardens,"-73.8553373,40.8584827"
4,Alphabet City,"-73.9788722,40.7253735"
5,Arden Heights,"-74.1836793,40.5491206"
6,Arrochar/Fort Wadsworth,"-74.0584262,40.6047319"
7,Astoria,"-73.9232236,40.7613368"
8,Astoria Park,"-73.9210677,40.7801323"
9,Auburndale,"-73.7898406,40.7618905"
10,Baisley Park,"-73.7873132,40.6738219"
11,Bath Beach,"-73.9822948,40.5991651"
12,Battery Park,"-74.0161911,40.7116947"
13,Battery Park City,"-74.0158048,40.7115750"
14,Bay Ridge,"-74.0360472,40.6162321"
15,Bay Terrace/Fort Totten,"-73.7730767,40.7807983"
16,Bayside,"-73.7713146,40.7631484"
17,Bedford,"-73.9514837,40.6899366"
18,Bedford Park,"-73.8893030,40.8755378"
19,Bellerose,"-73.7165948,40.7258029"
20,Belmont,"-73.8902993,40.8525350"
21,Bensonhurst East,"-73.9833997,40.6134129"
22,Bensonhurst West,"-74.0062526,40.6215181"
23,Bloomfield/Emerson Hill,"-74.0965143,40.6082645"
24,Bloomingdale,"-73.9663799,40.7731441"
25,Boerum Hill,"-73.9876518,40.6855048"
26,Borough Park,"-73.9852083,40.6401908"
27,Breezy Point/Fort Tilden/Riis Beach,"-73.8871852,40.5624062"
28,Briarwood/Jamaica Hills,"-73.8146022,40.7106659"
29,Brighton Beach,"-73.9773751,40.5775320"
30,Broad Channel,"-73.8120869,40.6100190"
31,Bronx Park,"-73.8772694,40.8540593"
32,Bronxdale,"-73.8593033,40.8612620"
33,Brooklyn Heights,"-73.9942383,40.6986034"
34,Brooklyn Navy Yard,"-73.9708105,40.6988222"
35,Brownsville,"-73.8962511,40.6615902"
36,Bushwick North,"-73.9031502,40.6890033"
37,Bushwick South,"-73.9088275,40.7008186"
38,Cambria Heights,"-73.7423664,40.6963790"
39,Canarsie,"40.63842596565836, -73.90816429729715"
40,Carroll Gardens,"40.681489255745674, -73.99868017563577"
41,Central Harlem,"40.81460147224645, -73.94558096573986"
42,Central Harlem North,"40.8010236289711, -73.95115996040795"
43,Central Park,"40.78293367949806, -73.96636494677526"
44,Charleston/Tottenville,"40.50848812283119, -74.24446225462647"
45,Chinatown,"40.715885063929605, -73.99791124929708"
46,City Island,"40.86172423371459, -73.78826119016037"
47,Claremont/Bathgate,"40.85197822533145, -73.89669742952256"
48,Clinton East,"40.8471182041951, -73.88784731414921"
49,Clinton Hill,"40.690205493805294, -73.96441926344885"
50,Clinton West,"40.76302926645257, -73.99402483479105"
51,Co-Op City,"40.87916072321451, -73.82469449067426"
52,Cobble Hill,"40.68761096556671, -73.99498138198015"
53,College Point,"40.78737956219788, -73.83913068518497"
54,Columbia Street,"40.67770287729854, -74.00637629068683"
55,Coney Island,"40.576627469280304, -73.98444269174814"
56,Corona,"40.84583778601758, -73.88678151463562"
57,Corona,"40.84583778601758, -73.88678151463562"
58,Country Club,"40.8409743047772, -73.82073041951251"
59,Crotona Park,"40.838637259606756, -73.89518717718452"
60,Crotona Park East,"40.838193603221946, -73.88822500897933"
61,Crown Heights North,"40.674800950932784, -73.94262622724145"
62,Crown Heights South,"40.672359813727134, -73.94326995739546"
63,Cypress Hills,"40.68629425776156, -73.87871523939191"
64,Douglaston,"40.76351243397328, -73.74275416250755"
65,Downtown Brooklyn/MetroTech,"40.69297779155139, -73.98498429412136"
66,DUMBO/Vinegar Hill,"40.70391764867045, -73.98581211895588"
67,Dyker Heights,"40.62139399380757, -74.01217482575628"
68,East Chelsea,"40.74843193355594, -74.00090243555675"
69,East Concourse/Concourse Village,"40.82844528180482, -73.92062989676771"
70,East Elmhurst,"40.77265356853045, -73.87514863971903"
71,East Flatbush/Farragut,"40.638644333710694, -73.92602867719694"
72,East Flatbush/Remsen Village,"40.657715844845185, -73.92498910603169"
73,East Flushing,"40.75436476067019, -73.80888949463763"
74,East Harlem North,"40.816778457825286, -73.93630847772319"
75,East Harlem South,"40.78489432447074, -73.95026751374256"
76,East New York,"40.66090978539892, -73.88086895038633"
77,East New York/Pennsylvania Avenue,"40.65672732406623, -73.88904186000097"
78,East Tremont,"40.84476490012424, -73.8673819214568"
79,East Village,"40.7276887517411, -73.98481436765012"
80,East Williamsburg,"40.717457719519004, -73.9327755095027"
81,Eastchester,"40.95855803697875, -73.8147363447971"
82,Elmhurst,"40.74044666387778, -73.88220769116009"
83,Elmhurst/Maspeth,"40.73092636444379, -73.88699506184753"
84,Eltingville/Annadale/Prince's Bay,"40.52521283873667, -74.20063272882705"
85,Erasmus,"40.6497547918906, -73.9529489060321"
86,Far Rockaway,"40.600493658136, -73.74497939573845"
87,Financial District North,"40.70909962526615, -74.00817625892012"
88,Financial District South,"40.70258873898973, -74.01164064534505"
89,Flatbush/Ditmas Park,"40.640776907966156, -73.96210050078817"
90,Flatiron,"40.74190505666035, -73.99150853831554"
91,Flatlands,"40.625608430993104, -73.93210921544082"
92,Flushing,"40.762279407717784, -73.83002593250143"
93,Flushing Meadows-Corona Park,"40.73990957457897, -73.84045002428782"
94,Fordham South,"40.8634693213192, -73.88639780442372"
95,Forest Hills,"40.71627230118881, -73.85022602451906"
96,Forest Park/Highland Park,"40.70171300804097, -73.85681233076582"
97,Fort Greene,"40.69234709649778, -73.97529795447576"
98,Fresh Meadows,"40.737026837282095, -73.78039969992813"
99,Freshkills Park,"40.58579714074974, -74.18453865190305"
100,Garment District,"40.754027112617464, -73.9903356938711"
101,Glen Oaks,"40.75018346187804, -73.71112645807236"
102,Glendale,"40.701114792109706, -73.88447623492675"
103,Governor's Island/Ellis Island/Liberty Island,"40.689691055019516, -74.04583751898875"
104,Governor's Island/Ellis Island/Liberty Island,"40.69974426145541, -74.04109977957766"
105,Governor's Island/Ellis Island/Liberty Island,"40.68952802285064, -74.01943948965166"
106,Gowanus,"40.67420679943082, -73.99051094995626"
107,Gramercy,"40.735821271777226, -73.9847994732299"
108,Gravesend,"40.593197610149225, -73.97458978272888"
109,Great Kills,"40.55320348259891, -74.15320125595395"
110,Great Kills Park,"40.54850788282867, -74.12573543604958"
111,Green-Wood Cemetery,"40.65489941095914, -74.00158413719512"
112,Greenpoint,"40.727319120142575, -73.95089656533378"
113,Greenwich Village North,"40.740124218156225, -74.00404708652103"
114,Greenwich Village South,"40.728259145397196, -74.0043505438258"
115,Grymes Hill/Clifton,"40.61961465247069, -74.09321767439344"
116,Hamilton Heights,"40.82561619733433, -73.94653020807253"
117,Hammels/Arverne,"40.590020939241484, -73.80741682640019"
118,Heartland Village/Todt Hill,"40.590820833761626, -74.15855922625977"
119,Highbridge,"40.83621422845496, -73.92833588448303"
120,Highbridge Park,"40.84225226627734, -73.92670510566342"
121,Hillcrest/Pomonok,"40.73227006705915, -73.81118634228298"
122,Hollis,"40.71579200979643, -73.77191459434597"
123,Homecrest,"40.59051265968451, -73.9569814558207"
124,Howard Beach,"40.65684787016398, -73.84410256958465"
125,Hudson Sq,"40.726093279926836, -74.00660233241462"
126,Hunts Point,"40.80937408526429, -73.88028778138828"
127,Inwood,"40.86833285746754, -73.92758931256591"
128,Inwood Hill Park,"40.87320066395057, -73.92467106920108"
129,Jackson Heights,"40.7549327889691, -73.88125679877864"
130,Jamaica,"40.702633645767676, -73.79277585269443"
131,Jamaica Estates,"40.72132491374192, -73.78600672559513"
132,JFK Airport,"40.65095025208751, -73.77754821820687"
133,Kensington,"40.63656469334283, -73.97332746378711"
134,Kew Gardens,"40.70805462084995, -73.82543417280885"
135,Kew Gardens Hills,"40.727835096675506, -73.82292887638589"
136,Kingsbridge Heights,"40.873318497251574, -73.89224112520152"
137,Kips Bay,"40.74110091095084, -73.97882488114321"
138,LaGuardia Airport,"40.77703268977563, -73.87385861581397"
139,Laurelton,"40.67715331302223, -73.7468151540837"
140,Lenox Hill East,"40.770778998330194, -73.94959197353413"
141,Lenox Hill West,"40.77279402980352, -73.98092017441037"
142,Lincoln Square East,"40.77104298524519, -73.96639448429703"
143,Lincoln Square West,"40.78020246706475, -73.98430785071238"
144,Little Italy/NoLiTa,"40.723441790133656, -73.99744796703222"
145,Long Island City/Hunters Point,"40.74132662605744, -73.96056699428918"
146,Long Island City/Queens Plaza,"40.751208896776404, -73.94051383486173"
147,Longwood,"40.825297434042234, -73.89150173556155"
148,Lower East Side,"40.71933588865632, -73.9819739061029"
149,Madison,"40.713131152303916, -74.00015078693399"
150,Manhattan Beach,"40.578106934147165, -73.94453291939705"
151,Manhattan Valley,"40.79754578838632, -73.9662624112401"
152,Manhattanville,"40.817462944551124, -73.95596211228741"
153,Marble Hill,"40.87463413701362, -73.90902362242514"
154,Marine Park/Floyd Bennett Field,"40.59759223340708, -73.88896092539738"
155,Marine Park/Mill Basin,"40.60658338718512, -73.93309844534166"
156,Mariners Harbor,"40.627725343755394, -74.1517648113119"
157,Maspeth,"40.728812978979896, -73.90878892082884"
158,Meatpacking/West Village West,"40.74042482459916, -74.00773106740081"
159,Melrose South,"40.82231127137712, -73.91483947533428"
160,Middle Village,"40.71695820984956, -73.87777695252328"
161,Midtown Center,"40.75324712273893, -73.99112076281783"
162,Midtown East,"40.752726967523465, -73.96751732383751"
163,Midtown North,"40.764120586893924, -73.98145414700693"
164,Midtown South,"40.729554665398226, -73.99788749169566"
165,Midwood,"40.62231610713018, -73.96266712469009"
166,Morningside Heights,"40.81007023745233, -73.96177756045799"
167,Morrisania/Melrose,"40.825745544576044, -73.91509213870154"
168,Mott Haven/Port Morris,"40.80142623163104, -73.91139613818626"
169,Mount Hope,"40.84900391568939, -73.90571097125982"
170,Murray Hill,"40.74803626234195, -73.97626276311973"
171,Murray Hill-Queens,"40.764409089511226, -73.8071073455564"
172,New Dorp/Midland Beach,"40.58259223963446, -74.15602390980972"
173,North Corona,"40.75450458718508, -73.86728866815552"
174,Norwood,"40.87941629515525, -73.8798529253952"
175,Oakland Gardens,"40.741340153898484, -73.75770757000372"
176,Oakwood,"40.584390067649665, -74.15364167818964"
177,Ocean Hill,"40.678419083360914, -73.91172981177785"
178,Ocean Parkway South,"40.61202279052659, -73.96824672931646"
179,Old Astoria,"40.76879346587726, -73.91570971033552"
180,Ozone Park,"40.67910091567158, -73.84915178109338"
181,Park Slope,"40.67050962282054, -73.98127950387055"
182,Parkchester,"40.83812109848807, -73.85718254808613"
183,Pelham Bay,"40.84423539221214, -73.83099379873913"
184,Pelham Bay Park,"40.86671094057098, -73.81001376429343"
185,Pelham Parkway,"40.857421568352436, -73.86748958984727"
186,Penn Station/Madison Sq West,"40.751062622388766, -73.9939488440327"
187,Port Richmond,"40.63414323319253, -74.13692380186679"
188,Prospect-Lefferts Gardens,"40.659127836657355, -73.95326462503853"
189,Prospect Heights,"40.67741614120376, -73.96633384684574"
190,Prospect Park,"40.66026878142031, -73.96878414280579"
191,Queens Village,"40.71685988221451, -73.74210245262684"
192,Queensboro Hill,"40.743915728255445, -73.82568150859933"
193,Queensbridge/Ravenswood,"40.7621473671169, -73.93469495997414"
194,Randalls Island,"40.78900386592877, -73.92884057637457"
195,Red Hook,"40.677300816885854, -74.00668494119161"
196,Rego Park,"40.72557147359859, -73.86254552534469"
197,Richmond Hill,"40.69573524366476, -73.82924044452827"
198,Ridgewood,"40.70487885894254, -73.90343774106613"
199,Rikers Island,"40.79273494102954, -73.88500341705155"
200,Riverdale/North Riverdale/Fieldston,"40.896896559222135, -73.90223003549373"
201,Rockaway Park,"40.57990316991856, -73.83733815671916"
202,Roosevelt Island,"40.7603859568994, -73.95137948713322"
203,Rosedale,"40.658255408764056, -73.73297102358721"
204,Rossville/Woodrow,"40.54539313211312, -74.19432213302322"
205,Saint Albans,"40.688425488881066, -73.77180443396051"
206,Saint George/New Brighton,"40.64596651942091, -74.0862203348683"
207,Saint Michaels Cemetery/Woodside,"40.76483859111146, -73.8981608814249"
208,Schuylerville/Edgewater Park,"40.822817675306595, -73.80998775425088"
209,Seaport,"40.70707679291878, -74.0027916162592"
210,Sheepshead Bay,"40.59492190146058, -73.94613776553317"
211,SoHo,"40.72392113936524, -74.00134450445337"
212,Soundview/Bruckner,"40.82409487113356, -73.87714060417001"
213,Soundview/Castle Hill,"40.820400211099475, -73.85829269684852"
214,South Beach/Dongan Hills,"40.585409815239785, -74.07940095231068"
215,South Jamaica,"40.68083556978872, -73.7909236210132"
216,South Ozone Park,"40.67618604337663, -73.81526437553678"
217,South Williamsburg,"40.703987655320525, -73.95781931079705"
218,Springfield Gardens North,"40.67684272514109, -73.77977106189833"
219,Springfield Gardens South,"40.667728969317864, -73.78071519945753"
220,Spuyten Duyvil/Kingsbridge,"40.8795767743433, -73.90742068882292"
221,Stapleton,"40.62401641473593, -74.08244798492986"
222,Starrett City,"40.648411961893494, -73.88351961040846"
223,Steinway,"40.76745286121325, -73.91220549814292"
224,Stuy Town/Peter Cooper Village,"40.73200331080919, -73.9781319769918"
225,Stuyvesant Heights,"40.682390859056774, -73.93214446047146"
226,Sunnyside,"40.744161980919706, -73.91926092594979"
227,Sunset Park East,"40.63655223779325, -74.00819688883807"
228,Sunset Park West,"40.65727344522294, -74.00814500603167"
229,Sutton Place/Turtle Bay North,"40.75738841196922, -73.96204579345401"
230,Times Sq/Theatre District,"40.75883418084942, -73.9616725033438"
231,TriBeCa/Civic Center,"40.719841861607755, -74.00970642346758"
232,Two Bridges/Seward Park,"40.715565066431715, -73.9890594050467"
233,UN/Turtle Bay South,"40.75779322959947, -73.9721357334974"
234,Union Sq,"40.73623462368938, -73.98966491515729"
235,University Heights/Morris Heights,"40.86348173629569, -73.91406495375455"
236,Upper East Side North,"40.787876915517124, -73.94898079195578"
237,Upper East Side South,"40.76259283382557, -73.97352836849528"
238,Upper West Side North,"40.80541724447903, -73.96424840022605"
239,Upper West Side South,"40.76704505593797, -73.98622724508289"
240,Van Cortlandt Park,"40.89740168602669, -73.8860989906731"
241,Van Cortlandt Village,"40.88365671219963, -73.89357168996607"
242,Van Nest/Morris Park,"40.84143196399497, -73.8705640149679"
243,Washington Heights North,"40.85748776251281, -73.93041789162788"
244,Washington Heights South,"40.83073651764921, -73.94243418783604"
245,West Brighton,"40.627008921287754, -74.1078238008656"
246,West Chelsea/Hudson Yards,"40.754474180052874, -74.0022844176666"
247,West Concourse,"40.72381548442663, -74.01154501766852"
248,West Farms/Bronx River,"40.840374242982094, -73.87845456615416"
249,West Village,"40.734789960050755, -74.00469958354797"
250,Westchester Village/Unionport,"40.83034079131162, -73.8506362741831"
251,Westerleigh,"40.616421852475156, -74.13954854588809"
252,Whitestone,"40.791758449258474, -73.80881066134494"
253,Willets Point,"40.76071514611866, -73.83943317241501"
254,Williamsbridge/Olinville,"40.880491745741715, -73.86693086637366"
255,Williamsburg (North Side),"40.71651216242356, -73.95837321315176"
256,Williamsburg (South Side),"40.70792025938979, -73.9556543102647"
257,Windsor Terrace,"40.653972566178425, -73.97631007115135"
258,Woodhaven,"40.6901614698185, -73.85749813859735"
259,Woodlawn/Wakefield,"40.89575878048875, -73.86271330416554"
260,Woodside,"40.75367147656049, -73.90654402280927"
261,World Trade Center,"40.71272776925601, -74.01083705947923"
262,Yorkville East,"40.77378566476144, -73.95577838537871"
263,Yorkville West,"40.7858538071431, -73.97863756080373"
264,NV,"40.85424167227736, -73.85346439067578"
265,,
